venue_fk,id,email,remarks
1821,390,terrassa@es.brahmakumaris.org,
1822,391,terrassa@es.brahmakumaris.org,
1832,392,sacramento@us.bkswu.org,
1833,393,eugene@us.brahmakumaris.org,
1834,394,eugene@us.brahmakumaris.org,
1840,395,manresa@es.brahmakumaris.org,
1842,396,terrassa@es.brahmakumaris.org,
1846,397,galway@ie.brahmakumaris.org,
1848,398,bkfirenze@gmail.com,
996,205,newcastle@uk.brahmakumaris.org,
389,151,grenoble@fr.brahmakumaris.org,
174,399,olinda@br.brahmakumaris.org,
1853,400,brisbane@au.brahmakumaris.org,
1927,422,washingtondc@us.brahmakumaris.org,
1856,402,yambisek@hotmail.com,
1857,403,yambisek@hotmail.com,
1858,404,nantes@fr.brahmakumaris.org,
1866,407,kendal@uk.brahmakumaris.org,
202,207,rio.tijuca@br.brahmakumaris.org,
242,150,porto@pt.brahmakumaris.org,
1307,153,chaguanas@tt.brahmakumaris.org,
1306,152,kingston@jm.brahmakumaris.org,
197,200,rio.laranjeiras@br.brahmakumaris.org,
1316,156,lklklkjds@gmail.com,
1324,160,portofspain@tt.brahmakumaris.org,
1327,162,bkgrande@tstt.net.tt,
1331,166,guyana@gy.brahmakumaris.org,
1333,168,staugustine@tt.brahmakumaris.org,
1336,170,canterbury@uk.blwsu.org,
194,172,fortaleza@br.brahmakumaris.org,
876,182,quezon@ph.brahmakumaris.org,
487,198,palmas@br.brahmakumaris.org,
596,199,santafe@ar.brahmakumaris.org,
76,201,gdansk@pl.brahmakumaris.org,
1409,202,swanseameditation@hotmail.co.uk,
1412,203,event@serendipity-tea.ro,
1414,204,harare@zw.brahmakumaris.org,
1416,206,windhoek@na.brahmakumaris.org,
1452,226,kendal@uk.brahmakumaris.org,
1429,208,events@ke.brahmakumaris.org,
1325,161,sanfernando@tt.brahmakumaris.org,
1886,410,secretaria@esmet.pt,
586,254,oslo@no.brahmakumaris.org,
1613,312,goldcoast@au.brahmakumaris.org,
607,314,cinnaminson@us.brahmakumaris.org,
1632,315,boston@us.brahmakumaris.org,
1312,159,santodomingo@do.brahmakumaris.org,
1638,316,hounslow@uk.brahmakumaris.org,
870,324,nairobi@brahmakumaris.org,
1692,328,guayaquil@ec.brahmakumaris.org,
1738,367,bkbologna@gmail.com,
1094,368,warsaw@pl.brahmakumaris.org,
2114,465,eugene@us.brahmakumaris.org,
2182,478,programa.sp@br.brahmakumaris.org,
1471,238,null,
527,504,deuil@rajayogameditation.fr,
747,506,lille@rajayogameditation.fr,
1465,237,brixton@innerspace.org,
1890,413,manchester@uk.brahmakumaris.org,
1195,240,harrow@uk.brahmakumaris.org,
2061,453,donotreply@noname.com,
860,467,perth@au.brahmakumaris.org,
2128,470,infomadrid@aembk.org,
2185,479,peterborough@uk.brahmakumaris.org,
563,497,bayonne@rajayogameditation.fr,
1057,505,itteville@rajayogameditation.fr,
562,507,marseille@rajayogameditation.fr,
564,511,toulon@rajayogameditation.fr,
2063,454,lotushus@lotushus.is,
2125,468,lotushus@lotushus.is,
2126,469,dublin@ie.brahmakumaris.org,
2186,480,loughborough@uk.brahmakumaris.org,
2069,455,BKSacramento1@aol.com,
2072,458,bkalbany.ny@gmail.com,
2130,471,daugavpils@lv.bkwsu.org,
2196,481,galway@ie.brahmakumaris.org,
1383,299,willemstad@cb.brahmakumaris.org,
1497,264,colchester@uk.brahmakumaris.org,
1502,265,leeds@uk.brahmakumaris.org,
1513,272,coventry@uk.brahmakumaris.org,
1514,273,leicester@uk.brahmakumaris.org,
1515,274,clapham@uk.brahmakumaris.org,
1520,275,mtdruitt@brahmakumaris.org.au,
1541,281,bogota.cedritos@co.brahmakumaris.org,
1573,298,penrith@aubrahmakumaris.org,
1599,300,our.urban.retreat@gmail.com,
2278,522,galway@ie.brahmakumaris.org,
2279,523,vancouver@ca.brahmakumaris.org,
2280,524,vancouver@ca.brahmakumaris.org,
2283,525,glasgow@innerspace.org,
2291,526,bordeaux@rajayogameditation.fr,
2320,527,goldcoast@au.brahmakumaris.org,
2322,528,wakefield@uk.brahmakumaris.org,
455,530,hendaye@rajayogameditation.fr,
2328,531,kendal@uk.brahmakumaris.org,
2519,590,bktroy.ny@brahmakumaris.org,
2330,533,kendal@uk.brahmakumaris.org,
2530,591,stockholm@se.brahmakumaris.org,
2333,535,innerspace.portoseguro@gmail.com,
2335,536,kortrijk@be.brahmakumaris.org,
41,239,granada@es.brahmakumaris.org,
2348,537,caracas@ve.brahmakumaris.org,
2355,538,null,
393,539,milano@it.brahmakumaris.org,
2371,540,sacramento@us.bkwsu.org,
2373,541,brixton@innerspace.org,
1353,181,manchester@uk.brahmakumaris.org,
2378,542,sunshine.west@au.brahmakumaris.org,
2381,543,panama@pa.brahmakumaris.org,
2382,544,ocala@us.brahmakumaris.org,
2383,545,stockholm@se.brahmakumaris.org,
2384,546,portland@us.brahmakumaris.org,
2385,547,southall@uk.brahmakumaris.org,
2386,548,southall@uk.brahmakumaris.org,
2388,550,ituzaingo@ar.brahmakumaris.org,
2389,551,ituzaingo@ar.brahmakumaris.org,
2390,552,brixton@innerspace.org,
2394,553,slough@uk.brahmakumaris.org,
2397,554,wakefield@brahmakumaris.org,
39,555,alicante@es.brahmakumaris.org,
2403,556,gooseberryhill@au.brahmakumaris.org,
2404,557,edgewater@au.brahmakumaris.org,
2405,558,huntingdale@au.brahmakumaris.org,
2406,559,padbury@au.brahmakumaris.org,
906,560,bkmeditationcenternh@gmail.com,
2409,561,toronto@ca.brahmakumaris.org,
2410,562,eugene@us.brahmakumaris.org,
2412,563,leicester@uk.brahmakumaris.org,
2417,564,salvador@br.brahmakumaris.org,
2431,566,kortrijk@be.brahmakumaris.org,
2432,567,RsvpBKSac@us.bkwsu.org,
2546,594,stockholm@se.brahmakumaris.org,
2551,595,info@westmoonahcommunityhouse.com,
2552,596,hobart@au.brahmakumaris.org,
2441,571,bkmeditationcenternh@gmail.com,
2442,572,florenceparkcommunitycentre@gmail.com,
2558,597,gdansk@pl.brahmakumaris.org,
2457,575,leicester@uk.brahmakumaris.org,
2462,576,nottingham@uk.brahmakumaris.org,
992,578,bktrobogy@gmail.com,
2465,579,brixton@innerspace.org,
2561,598,Lindy.Mataboge@wits.ac.za,
605,599,orlando@us.brahmakumaris.org,
2349,600,santiago@cl.brahmakumaris.org,
1144,602,milano@it.brahmakumaris.org,
2572,603,meditaniteroi@gmail.com,
2583,604,lighthouse@brahmakumaris.org,
2587,605,stockholm@se.brahmakumaris.org,
2589,606,ocala@us.brahmakumaris.org,
2590,607,null,
2594,608,stockholm@se.brahmakumaris.se,
2598,609,milano@it.brahmakumaris.org,
2191,610,peterborough@innerspace.org,
2600,612,stockholm@se.brahmakumaris.org,
2605,613,stockholm@se.brahmakumaris.org,
2609,614,stockholm@se.brahmakumaris.org,
2625,619,wakefield@uk.brahmakumaris.org,
2648,629,portland@us.brahmakumaris.org,
2652,630,slough@uk.brahmakumaris.org,
1064,589,manchester@innerspace.org,
417,639,curepipe@mu.brahmakumaris.org,
2653,640,curepipe@mu.brahmakumaris.org,
2656,641,info@ie.brahmakumaris.org,
2658,642,curepipe@mu.brahmakumaris.org,
2659,643,curepipe@mu.brahmakumaris.org,
350,644,brussels@be.brahmakumaris.org,
2669,646,lighthouse@brahmakumaris.org,
2673,647,stockholm@se.brahmakumaris.org,
2674,648,nynashamn@se.brahmakumaris.org,
2675,649,eugene@us.brahmakumaris.org,
2680,650,panama@pa.brahmakumaris.org,
2682,652,portland@us.brahmakumaris.org,
2685,653,brussels@be.brahmakumaris.org,
2687,654,veeke.v@scarlet.be,
2690,655,panama@pa.brahmakumaris.org,
2693,657,nynashamn@se.brahmakumaris.org,
2707,658,slough@uk.brahmakumaris.org,
2725,659,brighton@uk.brahmakumaris.org,
2726,660,brighton@uk.brahmakumaris.org,
2727,661,veeke.verstraete@be.brahmakumaris.org,
2728,662,null,
2757,672,gchenquiries@uk.brahmakumaris.org,
2760,673,stockholm@se.brahmakumaris.org,
270,674,clapham@uk.brahmakumaris.org,
2765,675,wakefield@uk.brahmakumaris.org,
2768,677,panama@pa.brahmakumaris.org,
711,678,infolaspalmas@aembk.org,
2792,679,mallorca@es.brahmakumaris.org,
2794,681,mallorca@es.brahmakumaris.org,
2796,683,mallorca@es.brahmakumaris.org,
2797,684,mallorca@es.brahmakumaris.org,
2805,686,almeria@es.brahmakumaris.org,
2814,687,johannesburg@za.brahmakumaris.org,
160,688,meditaalphaville@gmail.com,
187,689,joanaracaju@outlook.com,
188,692,belo.horizonte@br.brahmakumaris.org,
183,693,brasilia@br.brahmakumaris.org,
189,694,campinas@br.brahmakumaris.org,
182,695,florianopolis@br.brahmakumaris.org,
196,696,vilas@br.brahmakumaris.org,
198,697,limeira@br.brahmakumaris.org,
247,698,svbbarboza@gmail.com,
246,699,bkbernardes@gmail.com,
200,700,piracicaba@br.brahmakumaris.org,
291,701,portaldapaz@br.brahmakumaris.org,
201,702,porto.alegre@br.brahmakumaris.org,
204,703,salvador@br.brahmakumaris.org,
2817,704,regina_lovatti@yahoo.com.br,
205,705,sao.leopoldo@br.brahmakumaris.org,
206,706,sao.paulo@br.brahmakumaris.org,
208,709,retiroserraserena@br.brahmakumaris.org,
249,711,rajayoga.totoni@gmail.com,
190,712,rio.urca@br.brahmakumaris.org,
2818,713,rio.laranjeiras@br.brahmakumaris.org,
2819,714,medita.uberlandia@gmail.com,
2820,715,vjoriani4@gmail.com,
2822,717,adrianamioto@gmail.com,
185,708,meditapirituba@gmail.com,
2823,718,programa.sp@br.brahmakumaris.org,
2836,719,try.bkm@gmail.com,
2838,720,gent@be.brahmakumaris.org,
2841,721,bk.pinthu@gmail.com,
419,722,bk.pinthu@gmail.com,
283,723,pituba@br.brahmakumaris.org,
2849,724,programa.sp@br.brahmakumaris.org,
2859,725,stockholm@se.brahmakumaris.org,
2860,726,stockholm@se.brahmakumaris.org,
2865,727,stockholm@se.brahmakumaris.org,
2866,728,contact@4041.be,
2871,729,contact@4014.be,
2873,731,brussels@be.brahmakumaris.org,
2894,732,accra@gh.brahmakumaris.org,
2899,733,portland@us.brahmakumaris.org,
2902,734,uptonpark@uk.brahmakumaris.org,
2850,736,null,
2914,737,wakefield@uk.brahmakumaris.org,
2915,738,wakefield@uk.brahmakumaris.org,
2940,747,leeds@uk.brahmakumaris.org,
2942,749,rajayoga.belem@terra.com.br,
292,690,rajayoga.belem@terra.com.br,
2453,573,rajayoga.belem@terra.com.br,
2955,750,oranjestad@aw.brahmakumaris.org,
2958,753,nco@sr.brahmakumaris.org,
1310,754,nco@sr.brahmakumaris.org,
2959,755,nco@sr.brahmakumaris.org,
2960,756,nco@sr.brahmakumaris.org,
2961,757,nco@sr.brahmakumaris.org,
2962,758,nco@sr.brahmakumaris.org,
1314,759,kralendijk@bl.brahmakumaris.org,
2801,685,null,
2887,761,ladprao@th.brahmakumaris.org,
3006,762,yulia@mail.ru,
3027,763,antwerpen@be.brahmakumaris.org,
3028,764,losangeles@us.brahmakumaris.org,
3033,765,regina.baumgart@innerspace.org,
3038,766,verulam@za.brahmakumaris.org,
209,767,soweto@za.brahmakumaris.org,
3039,768,denholmetc@gmail.com,
3042,769,musgrave@za.brahmakumaris.org,
3043,771,durban@za.brahmakumaris.org,
3088,772,orlando@us.brahmakumaris.org,
3092,773,reception@yccuk.org.uk,
3111,780,hello@orangeboxhalifax.org,
2376,782,verulam@za.brahmakumaris.org,
3127,783,itteville@rajayogameditation.fr,
3131,784,haifa@il.brahmakumaris.org,
3140,785,johannesburg@za.brahmakumaris.org,
3145,786,cardiff@uk.brahmakumaris.org,
3146,787,cardiff@uk.brahmakumaris.org,
3150,789,aberdeen@uk.brahmakuamris.org,
3159,790,brixton@innerspace.org,
3163,791,cardiff@uk.brahmakumaris.org,
3169,794,meditalajeado@gmail.com,
3177,795,newport@uk.brahmakumaris.org,
3181,796,bk.inspirationhouse@gmail.com,
3191,797,cardiff@uk.brahmakumaris.org,
3192,798,cardiff@uk.brahmakumaris.org,
3194,800,newport@uk.brahmakumaris.org,
3166,792,Gyanmeera1000@yahoo.co.uk,
1018,834,langleycourses@gmail.com,
3167,793,langleycourses@gmail.com,
3234,835,info@ie.brahmakumaris.org,
3235,836,florianopolis@br.brahmakumaris.org,
1634,837,santodomingo@do.brahmakumaris.org,
2753,838,santodomigo@do.brahmakumaris.org,
3251,839,oxford@innerspace.org,
738,840,sanjose@cr.brahmakumaris.org,
3256,842,sanjose@cr.brahmakumaris.org,
3260,843,cardiff@uk.brahmakumaris.org,
2632,621,langleycourses@gmail.com,
3275,844,clapham@uk.brahmakumaris.org,
3278,845,luton@uk.brahmakumaris.org,
3282,846,glasgow@innerspace.org,
3291,847,2humphreystreet@gmail.com,
3293,848,bk.jackie@hotmail.co.uk,
3297,850,pituba@br.brahmakumaris.org,
59,858,losangeles@us.brahmakumaris.org,
3315,859,margate@us.brahmakumaris.org,
3313,860,laconfluence@rajayogameditation.fr,
3329,861,margate@us.brahmakumaris.org,
3330,862,null,
212,864,durban@za.brahmakumaris.org,
3129,865,durban@za.brahmakumaris.org,
3363,866,durban@za.brahmakumaris.org,
3382,867,capetown@za.brahmakumaris.org,
3383,868,null,
3386,869,centurion@za.brahmakumaris.org,
3143,870,centurion@za.brahmakumaris.org,
3387,871,st.petersburg@ru.brahmakumaris.org,
3389,872,meditaalphaville@gmail.com,
3398,873,gabi.reimann@de.brahmakumaris.org,
3406,874,nottingham@uk.brahmakumaris.org,
3409,875,raja.curso@gmail.com,
3429,887,panama@pa.brahmakumaris.org,
3438,888,programas.canela@br.brahmakumaris.org,
3441,889,harrow@uk.brahmakumaris.org,
213,770,heresh.girdhari@gmail.com,
1869,408,edison.office@us.brahmakumaris.org,
215,890,lenasia@za.brahmakumaris.org,
3459,891,laconfluence@rajayogameditation.fr,
3463,892,bkdallas.courses@gmail.com,
3255,841,null,
700,876,asuncion@py.brahmakumaris.org,
3147,788,null,
3464,893,bkdallas.courses@gmail.com,
3480,894,petermkeogh@gmail.com,
3482,895,barranquillabk@gmail.com,
3484,896,veeke.verstraete@be.brahmakumaris.org,
3486,898,cali@co.brahmakumaris.org,
1741,899,bogota.chapinero@co.brahmakumaris.org,
1758,901,bkbogota.sanjosedebavaria@gmail.com,
1759,903,medellin@co.brahmakumaris.org,
3500,904,southall@uk.brahmakumaris.org,
3504,905,peterborough@innerspace.org,
3505,906,eventos@co.brahmakumaris.org,
3511,907,brixton@innerspace.com,
1167,908,brahmakumaristunja@gmail.com,
3512,909,brahmakumaristunja@gmail.com,
1737,910,bogota.ciudadkennedy@co.brahmakumaris.org,
594,911,buenosaires@ar.brahmakumaris.org,
3510,912,corrientes@ar.brahmakumaris.org,
2301,4026830,retreats@globalretreatcentre.org,
1762,897,null,
1760,902,null,
595,913,liniers@ar.brahmakumaris.org,
597,914,laplata@ar.brahmakumaris.org,
598,915,lomas@ar.brahmakumaris.org,
599,916,mardelplata@ar.brahmakumaris.org,
702,900,bogota@co.brahmakumaris.org,
600,917,bahiablanca@ar.brahmakumaris.org,
590,919,null,
1199,920,santiago@ar.brahmakumaris.org,
1196,921,santiago@cl.brahmakumaris.org,
591,601,soniaravanalt@yahoo.com.ar,
3515,922,lapaz@bo.brahmakumaris.org,
3380,923,santodomingo@do.brahmakumaris.org,
1763,924,cali@co.brahmakumaris.org,
1742,926,bkchiquinquira@gmail.com,
1755,927,bkfusagasuga@gmail.com,
3517,928,bkcartagena@gmail.com,
3521,929,bkgph@intnet.mu,
3522,930,bkgph@intnet.mu,
3529,931,quito@ec.brahmakumaris.org,
3541,932,lapaz@bo.brahmakumaris.org,
3546,933,lapaz@bo.brahmakumaris.org,
3551,935,bogota.chapinero@co.brahmakumaris.org,
3555,936,null,
3559,937,medellin@co.brahmakumaris.org,
3583,938,peterborough@innerspace.org,
3584,939,anubhuti@brahmakumaris.org,
3625,940,shivani.leicester@uk.brahmakumaris.org,
3627,941,brussels@be.brahmakumaris.org,
3628,942,bogota.chapinero@co.brahmakumaris.org,
3633,943,bkdallas.courses@gmail.com,
3645,944,shivani.antwerp@be.brahmakumaris.org,
3660,945,peterborough@innerspace.org,
3663,946,portelizabeth@za.brahmakumaris.org,
3667,947,durban@brahmakumaris.org.za,
3682,948,portelizabeth@za.brahmakumaris.org,
3690,949,peterborough@innerspace.org,
3691,950,peterborough@innerspace.org,
3722,951,acate@acate.com.br,
3740,954,bogota@co.brahmakumaris.org,
3549,934,bogota@co.brahmakumaris.org,
3749,955,laconfluence@rajayogameditation.fr,
4075758,4075759,programa.sp@br.brahmakumaris.org,
3132424,3132426,nick.christianson@uk.brahmakumaris.org,
3762,959,publicaciones@co.brahmakumaris.org,
3777,961,southall@uk.brahmakumaris.org,
3785,962,innerspace@birmingham.org,
355,971,oxford@innerspace.org,
3799,972,meditaalphaville@gmail.com,
4092780,4092782,bksantosbksantosep@gmail.com,
4093106,4093108,olinda@br.brahmakumaris.org,
3802,973,oxford@innerspace.org,
1740,925,null,
3824,974,bogota.chapinero@cobrahmakumaris.org,
3825,975,ocala@us.brahmakumaris.org,
3826,976,null,
3843,977,brussels@be.brahmakumaris.org,
3850,978,petermkeogh@gmail.com,
3857,979,wembley@innerspace.org,
3859,980,leeds@uk.brahmakumaris.org,
3314470,3314472,slough.langley@uk.brahmakumaris.org,
3766,960,asuncion@py.brahmakumaris.org,
3338347,3338349,lizcorrigan@uk.brahmakumaris.org,
3866,981,brussels@be.brahmakumaris.org,
3905,982,vikramdookna@gmail.com,
3912,983,liniers@ar.brahmakumaris.org,
797,984,granada@es.brahmakumaris.org,
289,3944220,retiroserraserena@br.brahmakumaris.org,
3977791,3977793,programa.sp@br.brahmakumaris.org,
3990856,3990858,olinda@br.brahmakumaris.org,
4036604,4036606,liniers@ar.brahmakumaris.org,
4072212,4072214,sarah.fitzgerald@innerspace.org,
3402,4106512,meditar.uberlandianews@gmail.com,
3923,985,info@it.brahmakumaris.org,
4116769,4116771,stuttgart@de.brahmakumaris.org,
4128529,4128531,info@innerspace-dresden.de,
4151947,4151949,muenchen@de.brahmakumaris.org,
