channel_link,updated_on,last_synched_on,created_on,event_date_fk,event_fk,id,channel_fk,operation
https://zoom.us,,2022-04-26T20:20:52.139638,2022-04-26T20:20:41.55221,,4053017,4053020,3709989,INSERT
https://zoom.us,,2022-04-26T20:26:25.822428,2022-04-26T20:26:14.349676,,4053021,4053024,3709989,INSERT
,,2022-04-26T21:21:00.608204,2022-04-26T20:52:56.338822,,877,4053066,3710037,INSERT
,,2022-04-26T21:21:00.608204,2022-04-26T21:01:27.804695,,877,4053068,3710037,INSERT
,,2022-04-27T11:20:55.265798,2022-04-27T11:08:01.104524,,66478,4053383,3710037,INSERT
asdsasdasdadada,2022-04-27T11:57:09.159167,2022-04-27T11:57:19.744849,2022-04-27T11:56:51.437962,,4053445,4053448,3710003,DELETE
gchlondon,,2022-04-27T12:49:39.380668,2022-04-27T12:49:26.919119,,4053481,4053484,3710003,INSERT
gch_hindi,,2022-04-27T12:56:50.836514,2022-04-27T12:56:39.442236,,4053491,4053494,3710003,INSERT
96358729326,2021-11-27T12:22:17.281554,2021-11-27T12:22:35.998443,2021-06-28T16:48:36.356829,,3564159,3715761,3709989,UPDATE
https://zoom.us/meeting/register/tJYvf-Goqz0uG9ANGxY4BHKcRaBuy1Rs49Gf,2021-11-27T12:03:24.927393,2021-11-27T12:03:37.161137,2021-06-28T16:55:41.070061,,3508296,3715802,3709989,UPDATE
https://zoom.us/meeting/register/tJ0qf-2oqTooEtKsVsR-mDMO8Ux7w8lrsQBb,2021-11-27T11:59:24.775378,2021-11-27T11:59:36.96403,2021-06-28T16:58:31.267815,,3590255,3715818,3709989,UPDATE
https://us02web.zoom.us/meeting/register/tZ0kdOGrqT0jH9aOXI3TE4DACPK7e_yNR2ZP,2021-11-27T11:49:42.13806,2021-11-27T11:49:55.928146,2021-06-28T16:50:29.106681,,3539053,3715772,3709989,UPDATE
live,2021-11-27T12:13:58.965738,2021-11-27T12:14:15.333248,2021-06-28T16:49:48.436477,,3661778,3715767,3710003,UPDATE
https://us02web.zoom.us/meeting/register/tZAuc-2srjwuH9f1i-WXrucjf-1xYQjvB2hf&nbsp;,2021-11-27T12:16:36.170462,2021-11-27T12:16:48.273011,2021-06-28T16:50:17.446039,,3547344,3715771,3709989,UPDATE
,2021-11-27T11:38:21.04805,2021-11-27T11:38:33.088259,2021-06-28T17:00:44.995195,,3552679,3715834,3710037,UPDATE
https://www.facebook.com/BrahmaKumarisLeeds/live_videos/,2021-11-27T11:49:42.120276,2021-11-27T11:49:51.739428,2021-06-28T16:50:29.106681,,3539053,3715773,3709990,DELETE
live,2021-11-27T12:02:12.996184,2021-11-27T12:02:22.643201,2021-11-06T17:47:50.750652,,3477178,3871081,3710003,UPDATE
https://www.facebook.com/BrahmaKumarisLeeds/live_videos/,2021-11-27T11:55:28.330402,2021-11-27T11:55:40.131658,2021-06-28T16:50:03.882176,,3484119,3715770,3709990,DELETE
82235961474,2021-11-27T12:15:31.800428,2021-11-27T12:15:43.872765,2021-06-28T16:51:11.450894,,3486895,3715779,3709989,UPDATE
https://us02web.zoom.us/meeting/register/tZwtduqhqzwoGdz23Z0DxgRLVyuKWMvI2833,2021-11-27T12:19:16.276861,2021-11-27T12:19:28.293136,2021-06-28T16:51:59.589501,,3509461,3715781,3709989,UPDATE
93729903230,2021-11-27T12:20:05.416606,2021-11-27T12:20:17.478337,2021-06-28T16:53:22.08398,,3329619,3715785,3709989,UPDATE
,2021-11-27T12:01:56.114814,2021-11-27T12:02:07.891401,2021-11-06T17:47:29.670682,,3667329,3871080,3710037,UPDATE
live,2021-11-27T11:36:00.102588,2021-11-27T11:36:17.778412,2021-06-28T16:59:34.122316,,3545620,3715826,3710003,UPDATE
,2021-11-27T11:44:26.551406,2021-11-27T11:44:38.714391,2021-06-28T16:50:56.103761,,3676335,3715778,3710037,UPDATE
live,2021-11-27T12:02:51.137844,2021-11-27T12:03:03.074141,2021-11-06T17:48:35.094744,,38710,3871084,3710003,UPDATE
https://www.youtube.com/channel/UCvyk16SyOXFuGWWoRJYtMEg,2021-11-27T11:44:26.494428,2021-11-27T11:44:40.576445,2021-06-28T16:50:56.103761,,3676335,3715776,3709991,DELETE
,2021-11-27T12:11:30.920022,2021-11-27T12:11:47.096433,2021-06-28T16:55:03.312389,,65262,3715798,3710037,UPDATE
,2021-11-27T12:15:31.800428,2021-11-27T12:15:48.037429,2021-06-28T16:51:11.450894,,3486895,3715780,3710037,UPDATE
https://zoom.us,2021-11-27T12:19:52.313434,2021-11-27T12:20:05.251396,2021-10-27T08:09:50.980428,,65421,3854410,3709989,UPDATE
99338524508,2021-11-27T12:17:44.259045,2021-11-27T12:17:56.239107,2021-06-28T16:50:42.462361,,3568960,3715774,3709989,UPDATE
,2021-11-27T11:45:25.727866,2021-11-27T11:45:42.009765,2021-06-28T16:56:19.017561,,3664309,3715808,3710037,UPDATE
https://www.youtube.com/user/BrahmaKumarisUK,2021-11-27T12:19:33.316674,2021-11-27T12:19:43.041435,2021-06-28T16:58:53.508815,,3501008,3715820,3709991,DELETE
https://zoom.us/meeting/register/tJ0uc-qgrT8rHNYz9VA6jkhT4ambjBe8_LRI,2021-11-27T11:40:14.632956,2021-11-27T11:40:26.572961,2021-06-28T17:00:06.746614,,3712334,3715830,3709989,UPDATE
https://www.facebook.com/BrahmaKumarisLeeds/live_videos/,2021-11-27T12:25:05.629089,2021-11-27T12:25:15.178105,2021-06-28T16:56:03.964532,,3587827,3715805,3709990,DELETE
,2021-11-27T11:53:28.46853,2021-11-27T11:53:40.106125,2021-06-28T17:00:29.408524,,3337972,3715832,3710037,UPDATE
,2021-11-27T11:46:22.367202,2021-11-27T11:46:34.699225,2021-06-28T16:48:49.353326,,3677160,3715764,3710037,UPDATE
81918606692,2021-11-27T12:22:58.067629,2021-11-27T12:23:26.45019,2021-06-28T16:56:48.295063,,63845,3715812,3709989,UPDATE
https://us02web.zoom.us/meeting/register/tZ0kdOGrqT0jH9aOXI3TE4DACPK7e_yNR2ZP,2021-11-27T12:25:05.656857,2021-11-27T12:25:19.409154,2021-06-28T16:56:03.964532,,3587827,3715804,3709989,UPDATE
https://zoom.us,2021-11-29T09:39:59.021229,2021-11-29T09:40:04.918126,2021-11-27T16:47:48.901946,,3915364,3915367,3709989,UPDATE
,2021-11-27T11:58:49.452536,2021-11-27T11:59:01.425745,2021-06-28T16:59:54.477549,,3501917,3715829,3710037,UPDATE
84870735346,2021-11-27T12:10:38.961384,2021-11-27T12:10:54.224396,2021-06-28T16:59:22.210118,,3581784,3715825,3709989,UPDATE
https://zoom.us,2021-11-27T12:07:28.013854,2021-11-27T12:07:40.098875,2021-10-27T08:09:36.057192,,65273,3854409,3709989,UPDATE
,2021-11-27T11:47:05.073816,2021-11-27T11:47:16.522144,2021-06-28T16:55:29.682798,,3615896,3715801,3710037,UPDATE
87575758067,2021-11-27T12:26:57.328475,2021-11-27T12:27:09.117783,2021-06-28T16:58:42.798729,,3516861,3715819,3709989,UPDATE
,2021-11-27T12:07:51.47314,2021-11-27T12:08:04.973481,2021-06-28T16:59:07.130685,,3666623,3715824,3710037,UPDATE
,2021-11-27T12:19:33.347191,2021-11-27T12:19:47.320879,2021-06-28T16:58:53.508815,,3501008,3715821,3710037,UPDATE
https://www.youtube.com/user/BrahmaKumarisUK,2021-11-27T11:47:05.789946,2021-11-27T11:47:17.863991,2021-06-28T16:54:51.561216,,3662497,3715796,3709991,DELETE
,2021-11-27T12:02:12.996184,2021-11-27T12:02:26.867623,2021-11-06T17:47:50.750652,,3477178,3871082,3710037,UPDATE
https://us02web.zoom.us/meeting/register/tZAtceitqDkrHdAa0VEqqYMjziTIBMZ04wPT,2021-11-27T12:05:12.060876,2021-11-27T12:05:25.683986,2021-06-28T16:55:52.228416,,3590202,3715803,3709989,UPDATE
96809413634,2021-11-27T12:31:08.23359,2021-11-27T12:31:54.715721,2021-06-28T16:49:02.895587,,3549438,3715765,3709989,UPDATE
99542697462,,2022-04-27T15:28:19.965774,2022-04-27T15:27:55.400682,,4053495,4053535,3709989,INSERT
http://www.facebook.com/brahmakumarisbrighton,2021-11-27T12:22:58.045912,2021-11-27T12:23:22.187509,2021-06-28T16:56:48.295063,,63845,3715813,3709990,DELETE
https://us02web.zoom.us/meeting/register/tZwufuygrDwvH9ep-O90LTXX2E18lPGtWLx3,2021-11-27T12:10:03.650153,2021-11-27T12:10:15.947405,2021-06-28T16:52:10.829111,,3590186,3715782,3709989,UPDATE
https://zoom.us,2021-11-27T12:28:10.993214,2021-11-27T12:28:22.953475,2021-10-27T08:11:39.037754,,3661764,3854413,3709989,UPDATE
9209037769,2021-11-27T12:24:49.081636,2021-11-27T12:25:00.794408,2021-06-28T16:58:00.500414,,3593493,3715815,3709989,UPDATE
,2021-11-27T12:02:22.02264,2021-11-27T12:02:33.965543,2021-06-28T16:56:32.866533,,3693124,3715811,3710037,UPDATE
,2021-11-27T12:20:05.416606,2021-11-27T12:20:21.834259,2021-06-28T16:53:22.08398,,3329619,3715786,3710037,UPDATE
https://www.youtube.com/channel/UCvyk16SyOXFuGWWoRJYtMEg,2021-11-27T12:07:51.426718,2021-11-27T12:08:06.794822,2021-06-28T16:59:07.130685,,3666623,3715822,3709991,DELETE
83717666261,2022-07-29T10:39:21.78893,2022-07-29T10:39:22.65765,2021-06-28T16:53:35.460533,,63587,3715794,3709989,UPDATE
,2021-11-27T12:13:58.965738,2021-11-27T12:14:11.190411,2021-06-28T16:49:48.436477,,3661778,3715768,3710037,UPDATE
,2021-11-27T12:22:17.281554,2021-11-27T12:22:31.700622,2021-06-28T16:48:36.356829,,3564159,3715762,3710037,UPDATE
https://us02web.zoom.us/meeting/register/tZ0kdOGrqT0jH9aOXI3TE4DACPK7e_yNR2ZP,2021-11-27T11:55:28.344991,2021-11-27T11:55:38.132478,2021-06-28T16:50:03.882176,,3484119,3715769,3709989,UPDATE
91405370811,2021-11-27T12:11:30.920022,2021-11-27T12:11:42.736455,2021-06-28T16:55:03.312389,,65262,3715797,3709989,UPDATE
https://us02web.zoom.us/meeting/register/tZIqfuGhqD0tH9HsLX7xotLCtsXRpDbzrU8i,2021-11-27T11:42:52.29287,2021-11-27T11:43:04.327395,2021-06-28T16:59:43.74879,,3547138,3715827,3709989,UPDATE
82158748341,2022-06-20T22:55:32.676396,2022-07-08T12:51:06.808734,2021-06-28T16:55:16.77209,,3703881,3715799,3709989,UPDATE
,2021-11-27T11:43:26.595701,2021-11-27T11:43:36.015249,2021-06-28T16:57:49.234393,,64867,3715814,3710037,UPDATE
,2021-11-27T12:29:10.495624,2021-11-27T12:29:22.345101,2021-06-28T17:23:03.302708,,3705622,3715893,3710037,UPDATE
https://zoom.us,2021-11-27T17:05:05.19848,2021-11-27T17:05:15.106699,2021-11-27T17:03:33.973219,,3915435,3915438,3709989,UPDATE
91216111201,2021-11-27T11:45:25.727866,2021-11-27T11:45:37.712779,2021-06-28T16:56:19.017561,,3664309,3715807,3709989,UPDATE
,2021-11-27T11:55:28.912619,2021-11-27T11:55:40.806838,2021-06-28T17:00:18.257331,,3677172,3715831,3710037,UPDATE
https://www.youtube.com/user/BrahmaKumarisUK,2021-11-27T11:58:49.419538,2021-11-27T11:59:03.196275,2021-06-28T16:59:54.477549,,3501917,3715828,3709991,DELETE
83717666261,2022-08-04T17:37:11.602183,2022-08-04T17:37:44.516343,2021-06-28T16:58:11.413262,,65138,3715816,3709989,UPDATE
81918606692,2022-08-04T16:52:40.523755,2022-08-04T16:53:12.260704,2021-09-21T09:46:48.960766,,3818223,3818229,3709989,UPDATE
,2021-12-05T12:37:05.732845,2021-12-05T12:37:14.732368,2021-11-28T18:21:34.487953,,3916351,3916356,3710037,UPDATE
live,,2021-11-28T18:18:59.739826,2021-11-28T18:18:44.452782,,3916342,3916346,3710003,INSERT
,,2021-11-28T18:19:02.190065,2021-11-28T18:18:44.452782,,3916342,3916347,3710037,INSERT
live,2021-12-05T12:37:05.732845,2021-12-05T12:37:16.915889,2021-11-28T18:21:34.487953,,3916351,3916355,3710003,UPDATE
https://zoom.us,2021-11-29T09:38:34.424251,2021-11-29T09:38:44.789958,2021-11-29T09:37:25.332335,,3916619,3916622,3709989,UPDATE
https://zoom.us,,2021-11-29T09:47:05.04854,2021-11-29T09:46:51.31022,,3916639,3916642,3709989,INSERT
,,2021-11-29T18:20:04.37874,2021-11-29T18:11:15.139738,,66111,3917147,3710037,INSERT
https://us02web.zoom.us/meeting/register/tZ0kdOGrqT0jH9aOXI3TE4DACPK7e_yNR2ZP,2021-11-27T11:55:25.972073,2021-11-27T11:55:38.240344,2021-06-28T17:06:34.985189,,65482,3715847,3709989,UPDATE
,2022-08-11T12:17:01.757111,2022-08-11T12:21:13.761276,2021-06-30T12:02:58.037897,,3708185,3717933,3710037,UPDATE
,2021-11-27T11:55:25.972073,2021-11-27T11:55:42.524065,2021-06-28T17:06:34.985189,,65482,3715850,3710037,UPDATE
81365656106,2021-11-27T11:44:37.338589,2021-11-27T11:44:49.465704,2021-06-28T17:07:28.908555,,3548431,3715856,3709989,UPDATE
live,2022-07-10T14:54:57.270483,2022-07-10T14:55:17.135995,2022-06-11T20:14:43.590604,,4097613,4097616,3710003,UPDATE
https://www.youtube.com/user/BrahmaKumarisUK,2021-11-27T11:54:30.532298,2021-11-27T11:54:42.600327,2021-06-28T17:08:53.495391,,3681570,3715868,3709991,DELETE
81365656106,2021-11-27T12:03:43.097394,2021-11-27T12:03:55.176442,2021-06-28T17:20:59.430082,,3710026,3715881,3709989,UPDATE
,2021-11-27T11:56:59.507385,2021-11-27T11:57:13.731587,2021-06-28T17:06:19.609171,,65130,3715846,3710037,UPDATE
95687921300,2021-11-27T11:59:52.018565,2021-11-27T12:00:06.331379,2021-06-28T17:07:07.062183,,3677042,3715853,3709989,UPDATE
https://www.youtube.com/brahmakumarisuk,2021-11-27T12:23:38.967441,2021-11-27T12:23:48.441056,2021-06-28T17:09:27.627779,,3595464,3715872,3709991,DELETE
,2021-11-27T12:17:24.565032,2021-11-27T12:17:36.874401,2021-06-28T17:21:12.333018,,38338,3715883,3710037,UPDATE
8140976317,2021-11-27T11:59:15.032619,2021-11-27T11:59:24.477405,2021-06-28T17:09:36.967926,,3473784,3715873,3709989,UPDATE
https://www.youtube.com/channel/UCvyk16SyOXFuGWWoRJYtMEg,2021-11-27T12:02:21.969884,2021-11-27T12:02:35.7245,2021-06-28T16:56:32.866533,,3693124,3715809,3709991,DELETE
https://www.facebook.com/innerspace.glasgow,2021-11-27T12:02:21.969884,2021-11-27T12:02:37.707389,2021-06-28T16:56:32.866533,,3693124,3715810,3709990,DELETE
,2021-11-27T12:03:22.54794,2021-11-27T12:03:34.475565,2021-11-06T17:49:02.270284,,3712238,3871088,3710037,UPDATE
,2021-11-27T12:03:43.097394,2021-11-27T12:03:59.513892,2021-06-28T17:20:59.430082,,3710026,3715882,3710037,UPDATE
,2021-11-27T12:02:42.249635,2021-11-27T12:02:54.459505,2021-11-06T17:48:24.166736,,3689968,3871083,3710037,UPDATE
live,2021-11-27T12:28:40.61633,2021-11-27T12:28:52.405069,2021-06-28T17:23:27.392884,,3548907,3715895,3710003,UPDATE
,2021-11-27T11:44:37.338589,2021-11-27T11:44:53.754962,2021-06-28T17:07:28.908555,,3548431,3715857,3710037,UPDATE
,2021-11-27T12:18:10.386681,2021-11-27T12:18:22.231465,2021-06-28T17:19:57.118029,,65046,3715878,3710037,UPDATE
,2021-11-27T12:08:39.122444,2021-11-27T12:08:51.418438,2021-06-28T17:08:04.593471,,65074,3715862,3710037,UPDATE
98920690679,2021-11-27T12:26:15.721547,2021-11-27T12:26:27.587509,2021-06-28T17:21:37.590732,,3580162,3715884,3709989,UPDATE
https://www.facebook.com/InnerSpaceManchester/,2021-11-27T12:26:15.678642,2021-11-27T12:26:29.491529,2021-06-28T17:21:37.590732,,3580162,3715885,3709990,DELETE
UXL6XKlagnI,2021-11-27T12:28:10.925403,2022-05-21T20:00:22.714614,2021-10-27T08:11:14.860139,,3692548,3854412,3709991,UPDATE
93555915175,2021-11-27T12:29:39.360023,2021-11-27T12:29:51.55996,2021-06-28T17:22:50.142045,,3705668,3715890,3709989,UPDATE
,2021-11-27T11:36:18.463535,2021-11-27T11:36:30.941486,2021-06-28T17:20:38.260058,,65052,3715880,3710037,UPDATE
97024670737,2021-11-27T12:14:20.763406,2021-11-27T12:14:32.387699,2021-06-28T17:06:53.451076,,3689343,3715851,3709989,UPDATE
https://us02web.zoom.us/meeting/register/tZAvc-Ghqz4rHdzMeBZjBAp2F4JuciBDqR8D,2021-11-27T12:12:05.546443,2021-11-27T12:12:17.74799,2021-06-28T17:09:05.402752,,3712258,3715869,3709989,UPDATE
live,2021-11-27T12:23:57.40228,2021-11-27T12:24:09.275158,2021-06-28T17:09:16.289085,,3661731,3715870,3710003,UPDATE
,2021-11-27T11:45:02.198551,2021-11-27T11:45:14.042198,2021-09-11T10:46:04.397223,,3806566,3806573,3710037,UPDATE
,2021-11-27T12:14:20.763406,2021-11-27T12:14:36.58046,2021-06-28T17:06:53.451076,,3689343,3715852,3710037,UPDATE
http://www.facebook.com/brahmakumarisbrighton,2021-11-27T11:56:59.43609,2021-11-27T11:57:09.583309,2021-06-28T17:06:19.609171,,65130,3715845,3709990,DELETE
